quarter,row_id,label,unweighted,weighted,bank,source_file,unit,unweighted_inr_crore,weighted_inr_crore
2025-09-30,3iii,Unsecured debt,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-06-30,3iii,Unsecured debt,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2026-03-31,4,Secured wholesale funding,,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,0.0
2025-12-31,4,Secured wholesale funding,,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,0.0
2025-09-30,4,Secured wholesale funding,,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,0.0
2025-06-30,4,Secured wholesale funding,,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,,0.0
2026-03-31,5,Additional requirements,19304.82,19304.82,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,19304.82,19304.82
2025-12-31,5,Additional requirements,23861.31,23861.31,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,23861.31,23861.31
2025-09-30,5,Additional requirements,20808.81,20808.81,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,20808.81,20808.81
2025-06-30,5,Additional requirements,17919.3,17919.3,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,17919.3,17919.3
2026-03-31,5i,collateral,19304.82,19304.82,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,19304.82,19304.82
2025-12-31,5i,collateral,23861.31,23861.31,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,23861.31,23861.31
2025-09-30,5i,collateral,20808.81,20808.81,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,20808.81,20808.81
2025-06-30,5i,collateral,17919.3,17919.3,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,17919.3,17919.3
2026-03-31,5ii,loss of funding,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-12-31,5ii,loss of funding,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-09-30,5ii,loss of funding,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-06-30,5ii,loss of funding,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2026-03-31,5iii,Credit and liquidity facilities,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-12-31,5iii,Credit and liquidity facilities,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-09-30,5iii,Credit and liquidity facilities,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2025-06-30,5iii,Credit and liquidity facilities,0.0,0.0,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,0.0,0.0
2026-03-31,6,Other contractual funding,12928.2,12928.2,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,12928.2,12928.2
2025-12-31,6,Other contractual funding,13569.51,13569.51,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,13569.51,13569.51
2025-09-30,6,Other contractual funding,16023.74,16023.74,IndusInd Bank,indusind_bank_q4fy26_mar2026.pdf,crore,16023.74,16023.74
